,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
MRGPRX3,NM_054031.3,XM_015114614.1,xm_011233509.1,xm_012456383.1,xm_015461168.1,xm_002755115.3,xm_010987491.1,xm_005633812.1,xm_018042674.1,xm_008070940.1,xm_013149777.1,xm_004418513.2,xm_012088632.1,xm_005380429.2,xm_008005014.1,xm_006865810.1,xm_004683593.2,xm_003509349.2,xm_004485030.2,xm_013019607.1,xm_004711629.1,xm_006892061.1,xm_008149041.1,xm_001504976.4,xm_007515896.1,xm_003993106.3,xm_008582055.1,XM_004050775.1,xm_004851784.1,xm_005326849.1,xm_004650807.2,xm_010592190.1,xm_015434991.1,xm_011750185.1,xm_011992935.1,xm_017671476.1,xm_005087724.2,xm_012756731.1,xm_005357846.1,xm_016219434.1,xm_003341574.1,nm_001288801.1,xm_004752112.2,xm_008827438.1,xm_003254306.3,xm_012929378.1,xm_012515512.1,xm_004415672.1,,xm_002709197.2,xm_003781168.1,xm_012101789.2,XM_003818220.1,XM_001172934.4,xm_009186467.2,xm_009246544.1,xm_012654307.1,xm_011377785.1,NM_145787.2,xm_010370156.1,xm_016164928.1,xm_003919904.2,xm_003774615.1,xm_004607931.1,xm_013994496.1,xm_012557464.1,xm_006142564.1,xm_004319386.1
MRGPRX4,NM_054032.3,xm_015114705.1,xm_011233509.1,xm_012456383.1,xm_015461168.1,xm_002755115.3,xm_010987491.1,xm_005633812.1,xm_018042674.1,xm_008070940.1,xm_013149777.1,xm_004418661.2,xm_012088632.1,xm_005380429.2,xm_008005014.1,,xm_004683593.2,xm_003509349.2,xm_004485030.2,xm_013019607.1,xm_004711629.1,xm_006892062.1,xm_008149042.1,xm_001504976.4,xm_007515896.1,xm_003993106.3,xm_008582055.1,XM_004050777.1,xm_004851784.1,xm_005326849.1,xm_012949941.1,xm_010592190.1,xm_015434991.1,xm_011750185.1,xm_011992934.1,xm_017671476.1,xm_005087724.2,xm_012756731.1,xm_005357846.1,xm_016219435.1,xm_001378015.3,nm_001288801.1,xm_004752112.2,xm_008831713.1,xm_003254306.3,xm_012929378.1,xm_012515512.1,xm_004415672.1,,xm_002709197.2,xm_003781168.1,xm_012101789.2,XM_003818221.2,XM_521855.5,xm_003910157.2,xm_002821991.2,xm_012654163.1,xm_011377785.1,nm_145787.2,xm_010370156.1,xm_016164928.1,xm_003919904.2,xm_003774615.1,xm_004607927.2,xm_013994496.1,xm_012557464.1,xm_006142564.1,xm_004319386.1
MTNR1A,NM_005958.4,XM_001090972.3,XM_002923416.2,XM_012452874.1,XM_614283.6,XM_002745162.3,XM_010995745.1,XM_540019.5,XM_018041838.1,XM_008050781.1,XM_003469177.1,xm_004428772.1,XM_012078165.1,XM_005373892.1,XM_008000493.1,XM_006834510.1,XM_004682496.2,XM_007617174.2,xm_004447979.1,XM_013025345.1,XM_004696476.1,XM_006882263.1,XM_008146236.1,XM_001490171.2,XM_007517681.1,XM_003984615.3,XM_008592090.1,XM_004040725.1,XM_004853058.2,XM_005329190.1,XM_004666370.1,xm_003421232.1,XM_005556485.2,XM_011715496.1,XM_011980778.1,xm_017654315.1,XM_005088672.2,XM_012784869.1,XM_005362646.1,XM_016208993.1,XM_001368216.2,NM_008639.2,XM_004758301.1,XM_008853606.1,XM_003271501.1,XM_004578995.1,XM_004639799.1,XM_004407939.2,xm_004284079.1,XM_017340936.1,XM_003792766.1,NM_001009725.1,XM_003823494.2,XM_016952653.1,XM_003899434.3,XM_002815355.2,XM_012644001.1,XM_011363980.1,NM_053676.2,XM_010377990.1,XM_016143901.1,XM_003933871.2,XM_003774443.1,XM_004610338.1,XM_013985006.1,xm_004382801.2,XM_006160476.2,xm_004329897.1
MTNR1B,NM_005959.3,XM_001084265.3,XM_011226873.1,XM_012444817.1,NM_001206907.1,XM_003734151.1,XM_010986681.1,XM_014122444.1,XM_018042917.1,xm_008050781.1,XM_003468570.2,xm_004427448.1,XM_012077782.1,XM_005380432.2,XM_008020506.1,xm_006834510.1,,xm_007636225.1,xm_004447979.1,XM_013028821.1,xm_004696476.1,xm_006882263.1,XM_008149162.1,XM_001917051.1,xm_007517681.1,XM_003992620.2,XM_008591633.1,XM_004051965.1,XM_004838123.1,XM_005337195.1,XM_004661883.1,XM_003415638.2,XM_015435347.1,XM_011745891.1,XM_011995005.1,,xm_005088672.2,XM_012739636.1,XM_005347416.1,XM_016206699.1,XM_001369486.1,NM_145712.2,XM_004763604.1,XM_008837748.1,xm_003271501.1,XM_004585254.1,XM_004644771.1,XM_012565987.1,,XM_017344057.1,XM_003781338.1,NM_001130938.1,XM_003813777.1,XM_016921786.1,XM_003910543.2,XM_002822349.1,XM_012657229.1,XM_011363290.1,NM_001100641.1,XM_010357364.1,XM_016158657.1,XM_003941509.1,xm_003774443.1,xm_004606623.1,XM_013979266.1,xm_004391269.1,XM_006160347.2,
NMBR,NM_002511.3,NM_001278400.1,XM_002912637.2,XM_012474445.1,NM_001205710.1,XM_002747091.3,XM_010983698.1,XM_014112406.1,XM_005684853.3,XM_008061301.1,XM_003465651.3,xm_004442092.1,XM_012091489.1,XM_005389257.2,XM_008006841.1,XM_006834616.1,XM_004673900.1,XM_003501188.1,XM_012522738.1,XM_013026965.1,XM_004701973.1,XM_006891670.1,XM_008161851.1,XM_001502752.4,XM_007525866.1,XM_003986612.2,XM_008566246.1,XM_004044764.1,XM_004846052.1,XM_005334858.1,XM_004651158.2,XM_003403986.2,XM_005551988.2,XM_011714311.1,XM_011969795.1,XM_017649939.1,XM_013126954.1,XM_012743283.1,XM_005360990.1,XM_016223977.1,XM_001380878.2,NM_008703.2,XM_004752731.2,XM_008829830.1,XM_003255801.3,XM_004587279.1,XM_004628544.1,XM_004397021.1,XM_004263883.1,XM_002714848.3,XM_003790280.1,XM_004011382.3,XM_003827713.2,XM_527520.5,XM_003898099.3,xm_009242308.1,XM_012655544.1,XM_011356140.1,XM_017588815.1,XM_010354964.1,XM_016132670.1,XM_003926866.2,XM_003769506.1,XM_004608998.1,NM_001128489.1,xm_004368869.1,XM_006151089.1,xm_004330681.1
NMUR1,NM_006056.4,XM_015111346.1,XM_011222650.1,XM_012434041.1,XM_588365.8,XM_008999692.2,XM_010985677.1,XM_003433327.3,XM_005676958.2,XM_008063798.1,XM_005005794.1,xm_014785391.1,XM_012072631.1,XM_005395393.2,XM_007966620.1,XM_006866801.1,XM_012725021.1,XM_007626072.2,XM_004447070.1,XM_013021144.1,XM_013004372.1,XM_006893540.1,XM_008138710.1,XM_005610708.2,XM_016186501.1,XM_011285674.1,XM_008565646.1,XM_004033348.1,XM_004921194.1,XM_005326494.1,XM_012949751.1,,XM_005574599.2,XM_011728141.1,XM_011998073.1,XM_017678333.1,XM_013122108.1,XM_012760952.1,XM_005361788.1,XM_016204619.1,XM_007486078.1,NM_001319227.1,XM_013046286.1,XM_008838075.1,XM_012503835.1,XM_004577201.1,XM_004637392.1,XM_004396082.2,XM_012531817.1,XM_008259306.2,XM_003784870.2,XM_015093601.1,XM_003821867.1,XM_001140471.3,XM_003908075.2,XM_009238218.1,XM_012652200.1,XM_011383720.1,XM_017596633.1,XM_010354581.1,XM_016134609.1,XM_003930691.2,,XM_012933247.1,XM_013984573.1,xm_004389514.1,XM_006171168.2,XM_004329716.1
NMUR2,NM_020167.4,XM_015141265.1,XM_002920746.2,XM_012450483.1,NM_001035048.1,XM_003732266.3,XM_010987270.1,XM_546288.3,XM_005683202.3,XM_008056583.1,XM_003464519.2,xm_004428623.2,XM_012068858.1,XM_005376579.2,XM_008015070.1,xm_006863951.1,xm_012725021.1,XM_007619458.2,XM_004468911.2,XM_013033792.1,XM_004697099.2,xm_006894743.1,XM_008152246.1,XM_001917561.3,XM_007526121.1,XM_003981478.3,XM_008586914.1,XM_004042859.1,XM_004836782.1,xm_005325490.1,XM_004666503.2,XM_010592026.1,XM_005558330.2,XM_011715911.1,XM_011981229.1,XM_017657457.1,XM_005067744.2,XM_012740907.1,XM_005350039.1,xm_016214072.1,xm_007486078.1,NM_153079.4,XM_004738110.2,xm_008826332.1,XM_003276551.3,XM_004587603.1,XM_004629452.1,XM_004402852.2,XM_004280319.1,XM_008255431.2,XM_012806810.1,XM_004008998.3,XM_003828982.2,XM_527091.5,XM_003900404.3,XM_002816108.3,XM_012658275.1,XM_011356771.1,NM_022275.3,XM_010358646.1,XM_016164379.1,XM_003934050.1,XM_012551882.1,xm_012933247.1,NM_001315615.1,xm_004371285.2,XM_006169679.1,xm_004317897.1
NPBWR1,NM_005285.3,NM_001194227.1,XM_002930256.1,XM_012442912.1,NM_174074.2,XM_002758900.2,xm_011000473.1,XM_544078.4,XM_018058126.1,XM_008067949.1,XM_005008519.2,xm_004435696.2,XM_012073799.1,XM_005396121.1,XM_008000625.1,XM_006871859.1,XM_004679882.1,xm_007627994.2,XM_004479855.1,XM_013009301.1,XM_004697768.1,XM_006900536.1,XM_008143297.1,XM_001914706.4,XM_007515974.1,XM_011291297.1,XM_008589366.1,XM_004047003.1,XM_004837516.1,XM_013361524.1,XM_004653363.1,XM_010599542.1,XM_015454856.1,XM_011710453.1,XM_011994473.1,XM_017672196.1,XM_005086495.1,XM_012790015.1,XM_005362245.1,xm_016198459.1,XM_016432608.1,NM_010342.1,XM_004777528.1,XM_008844426.1,XM_003255954.3,XM_004580790.1,XM_004633414.1,XM_004402608.1,XM_004275035.1,XM_017341613.1,XM_012807546.1,XM_004011956.3,XM_003823254.2,XM_016959474.1,XM_003902739.3,XM_002819078.1,XM_012661414.1,XM_011359152.1,NM_001014784.1,XM_010369135.1,XM_016128927.1,XM_003940854.2,XM_003759785.2,xm_004620260.1,XM_003355060.3,xm_004391320.1,XM_006140356.1,xm_004328332.1
NPBWR2,NM_005286.2,XM_001113051.3,XM_002925686.1,XM_012440521.1,NM_174075.1,XM_002747768.1,XM_010997019.1,xm_005631209.2,XM_005688251.2,XM_008059772.1,XM_003462824.1,xm_004444042.1,XM_012074106.1,XM_013507428.1,XM_008010179.1,xm_006871859.1,xm_004679882.1,XM_016965041.1,xm_004479855.1,xm_013009301.1,xm_004697768.1,xm_006900536.1,xm_008143297.1,XM_001915733.3,XM_007524490.1,XM_003983288.1,XM_008588059.1,XM_004062578.1,XM_004841135.1,XM_013358587.1,XM_004673226.1,XM_010601156.1,XM_015430089.1,XM_011722444.1,XM_011973975.1,xm_017680540.1,xm_005086495.1,XM_012773046.1,xm_005362245.1,xm_016207720.1,xm_016432608.1,nm_010342.1,xm_004777567.2,XM_008843358.1,XM_003280175.2,xm_004580790.1,XM_004644180.1,XM_004410094.1,XM_004286855.1,xm_002716071.3,xm_012807546.1,XM_004014400.3,XM_003809940.3,XM_016938304.1,XM_009215701.2,XM_002830553.3,XM_012654571.1,xm_011359152.1,nm_001014784.1,XM_010365266.1,xm_016128927.1,XM_003932684.2,XM_012554091.1,XM_004620260.1,xm_003355060.3,xm_012558376.1,XM_006167096.1,XM_004332349.1
NPFFR1,NM_022146.4,XM_015147375.1,XM_011234509.1,XM_012460166.1,XM_015469835.1,XM_009009802.2,XM_010992803.1,XM_846842.2,XM_018042160.1,XM_008057856.1,XM_013156627.1,xm_004427162.1,XM_012085315.1,XM_005390064.2,XM_007963177.1,XM_006837463.1,XM_004680809.1,XM_016965964.1,XM_004470587.1,XM_013017062.1,XM_004701393.1,XM_006889044.1,,XM_005602580.2,XM_007524174.1,XM_011287398.1,XM_008591926.1,XM_004049565.1,XM_004847131.1,XM_013358863.1,XM_012948622.1,XM_010589199.1,XM_005565642.2,XM_011714970.1,XM_011991055.1,XM_017651398.1,XM_005070909.2,XM_012762620.1,XM_005360092.2,XM_016198417.1,XM_001374780.3,NM_001177511.1,XM_004769525.2,XM_008827815.1,XM_003271199.3,XM_004583590.1,XM_004623972.1,XM_004393667.1,XM_004280834.1,XM_017348647.1,XM_012801348.1,XM_015104295.1,XM_014346461.1,XM_521501.5,XM_017962973.1,XM_002820859.3,XM_012658431.1,XM_011372168.1,NM_022291.2,XM_010362841.1,XM_016121005.1,XM_003928639.2,,XM_012934252.1,NM_001206457.1,xm_004386371.1,XM_006166260.1,XM_004322656.1
NPSR1,NM_207172.1,NM_001032942.1,XM_002918657.1,XM_012461255.1,NM_001192977.1,XM_002751323.3,XM_010988076.1,XM_014118911.1,XM_005679196.2,XM_008061523.1,XM_003469973.3,xm_004418834.1,XM_012083770.1,XM_005412989.2,XM_007981638.1,XM_006832139.1,XM_004676849.2,XM_007628616.2,XM_004457123.1,XM_013035142.1,XM_004708016.1,xm_006887597.1,XM_008147348.1,XM_001501056.4,XM_007523384.1,XM_011280501.1,XM_008591015.1,XM_004045300.1,,XM_005319190.1,XM_004652295.2,XM_003406958.2,XM_015447342.1,XM_011731389.1,XM_011973094.1,XM_017653347.1,XM_013119373.1,xm_012743341.1,XM_005346956.1,XM_016222257.1,XM_001365604.4,XM_017313417.1,xm_013061472.1,xm_008837834.1,XM_003279195.2,XM_004582374.1,XM_004636568.2,XM_004417081.1,XM_012533034.1,NM_001204444.1,XM_003788578.1,XM_004007904.3,XM_003811955.2,XM_001168771.4,xm_017956779.1,XM_002818064.2,XM_012638769.1,XM_011362477.1,XM_008766049.1,XM_010379700.1,XM_016160326.1,XM_003930733.2,XM_003762318.1,XM_004606883.1,XM_013990849.1,xm_004385313.1,XM_014582704.1,
NTSR1,NM_002531.2,XM_015148634.1,XM_002925733.1,XM_012440518.1,XM_015474162.1,XM_002747747.3,XM_010987877.1,XM_543088.4,XM_005688283.3,XM_008065070.1,XM_003462814.3,xm_004430208.2,XM_012074276.1,XM_005410013.1,XM_008011680.1,XM_006873357.1,XM_012728160.1,XM_007610502.2,xm_004456842.1,XM_013030347.1,XM_013008130.1,XM_006896939.1,XM_008157109.1,XM_001493229.2,XM_007520372.1,XM_011280828.1,XM_008579813.1,XM_004062499.1,XM_004841020.1,XM_005325312.1,XM_004669492.1,XM_010601152.1,XM_005569538.2,XM_011722604.1,XM_011992427.1,XM_017663736.1,XM_005074521.2,XM_012772918.1,XM_005362744.1,XM_016203246.1,XM_001376597.2,NM_018766.2,XM_004759995.2,XM_008843246.1,XM_012511626.1,XM_004585942.1,XM_004644163.1,XM_004410159.1,XM_004282338.1,XM_017340497.1,XM_003787763.1,xm_004007210.2,XM_003810829.2,XM_016938264.1,XM_009215792.2,XM_003779393.2,XM_012654550.1,XM_011374132.1,XM_006235788.1,XM_010365207.1,XM_016133621.1,XM_003932658.2,XM_003757621.1,XM_004620236.1,,xm_004370192.1,XM_006167033.2,XM_004310713.1
NTSR2,NM_012344.3,XM_002799143.2,XM_002922742.2,XM_012438852.1,XM_586493.7,XM_002807559.4,XM_010982709.1,XM_540085.4,XM_018055628.1,xm_008070248.1,xm_003462814.3,xm_004436501.2,XM_012044580.1,XM_013504337.1,XM_007971446.1,XM_006869471.1,xm_012728160.1,XM_007609584.1,xm_004456842.1,XM_013013553.1,XM_013008767.1,XM_006880728.1,xm_008157109.1,XM_005614845.2,xm_007520372.1,XM_003984527.1,XM_008585752.1,XM_004028859.1,XM_004869979.1,XM_005327389.1,XM_004665683.1,XM_010592025.1,NM_001283319.1,XM_011749345.1,XM_011965334.1,XM_017641775.1,XM_005084945.2,XM_012781061.1,XM_005366532.2,,xm_001376597.2,NM_008747.2,XM_004745810.2,XM_008850096.2,XM_012497455.1,XM_004582842.2,xm_004644163.1,XM_004401775.2,XM_004274931.2,XM_002710076.3,XM_012803693.1,XM_004007210.2,XM_008952525.2,XM_003949755.3,XM_003908288.2,xm_009237539.1,XM_012648897.1,XM_011365143.1,XM_017594348.1,XM_010379652.1,,XM_003927208.1,xm_003757621.1,XM_004609407.1,XM_003354920.3,xm_004373097.1,XM_006140816.2,XM_004310269.1
OPN3,NM_014322.2,XM_001094239.3,XM_011223981.1,XM_012443734.1,XM_005228545.3,xm_003735287.2,XM_010992162.1,XM_014115010.1,XM_018059939.1,XM_008063894.1,XM_003474311.3,xm_004439605.2,XM_012036274.1,XM_005374819.2,XM_007989937.1,,,XM_007640605.2,XM_012522085.1,XM_013021790.1,,,,XM_005607945.2,,XM_003999138.3,XM_008575257.1,XM_004028670.1,XM_004853473.2,XM_005326574.2,XM_004653438.1,XM_003410915.2,XM_005539667.2,XM_011729473.1,XM_011990032.1,XM_017674926.1,XM_005078169.2,XM_012751274.1,XM_005368525.2,XM_016196041.1,XM_001377887.3,NM_010098.3,XM_004756755.2,XM_008849180.2,xm_012506427.1,XM_004578507.2,XM_004626818.1,XM_004414269.1,XM_004283495.1,XM_008268230.2,XM_003800078.2,XM_015099041.1,XM_014343454.1,XM_016941714.1,XM_009196635.2,XM_002809252.3,XM_012644391.1,XM_011380004.1,NM_001191933.1,XM_010384714.1,XM_016166730.1,XM_010345874.1,XM_003767787.1,,,xm_004375853.1,XM_014584088.1,xm_004318584.1
OPN5,NM_181744.3,XM_001104044.3,XM_002919006.1,XM_012441528.1,NM_001206080.1,XM_002746623.2,XM_010995432.1,XM_003639428.2,XM_005696391.2,XM_008062681.1,XM_013156582.1,xm_004424042.1,XM_012070473.1,XM_005389879.2,XM_007972311.1,XM_006860534.1,XM_004673553.2,XM_007626739.1,XM_004452792.1,XM_013019074.1,XM_004696371.1,XM_006881924.1,XM_008153205.1,XM_001502775.2,XM_007517838.1,XM_003986222.2,XM_008586585.1,XM_004044155.1,XM_004846396.1,XM_005318596.1,XM_004649433.2,XM_003404446.2,XM_015449334.1,XM_011756883.1,XM_011986880.1,XM_017641505.1,XM_005072296.2,XM_012744804.1,XM_005359789.1,XM_016212654.1,XM_007484056.2,NM_181753.4,XM_013061283.1,XM_008846735.1,XM_003254193.1,XM_004590534.1,XM_004624089.2,XM_004408452.1,XM_004267503.1,XM_017345171.1,XM_003789251.2,XM_004018872.3,XM_003833187.1,XM_016955651.1,XM_017957925.1,XM_002816969.1,XM_012664670.1,XM_011354795.1,NM_181772.1,XM_010362833.1,XM_016158948.1,XM_003923093.2,XM_003769136.1,XM_012932158.1,XM_005674065.2,xm_004379536.1,XM_006149093.1,XM_004314422.1
OPRD1,NM_000911.3,XM_001113252.3,XM_011229472.1,XM_012440007.1,NM_001191148.1,XM_002750522.4,XM_010981688.1,XM_544455.5,XM_018057063.1,XM_008064104.1,XM_003471096.3,xm_004425847.1,XM_012079842.1,XM_005394969.2,XM_007979749.1,XM_006862209.1,XM_004678699.2,XM_003498350.1,XM_012524134.1,XM_013032147.1,XM_004705049.1,XM_006894917.1,XM_008147978.1,XM_014737235.1,XM_007522438.1,XM_003989776.2,XM_008568692.1,XM_004025316.1,XM_004850778.1,XM_005317702.2,XM_012951873.1,XM_003415273.2,XM_005544217.2,XM_011763117.1,XM_011981764.1,XM_017669718.1,XM_005079535.2,XM_012750835.1,XM_005353137.1,XM_016219218.1,XM_007491486.1,NM_013622.3,XM_004741003.2,XM_008847939.1,XM_012498336.1,XM_004591661.1,XM_004642896.1,XM_004394640.1,XM_004266575.1,XM_002716071.3,XM_003800767.1,XM_012157025.2,XM_003828102.3,XM_513259.5,XM_003891456.3,XM_002811158.1,XM_012645931.1,XM_011357761.1,NM_012617.1,XM_010380330.1,XM_016132144.1,XM_003937630.2,XM_003765031.1,XM_004603524.1,XM_003356260.4,xm_004377022.1,XM_006164601.1,XM_004314815.1
OR51E1,NM_152430.3,xm_001112495.3,xm_002928588.2,xm_012456820.1,XM_604996.5,XM_002754858.3,xm_010990607.1,xm_542353.2,xm_005689838.3,xm_008068200.1,xm_013145392.1,xm_014790220.1,xm_012045115.1,xm_005380052.2,xm_008019937.1,xm_006870241.1,xm_004683145.2,xm_003514819.1,xm_004476938.2,xm_013014044.1,xm_004717528.2,xm_006885525.1,xm_008161234.1,xm_001497168.4,xm_007527520.1,xm_003992792.2,xm_008564890.1,xm_004050513.1,xm_004863340.2,xm_005323118.1,xm_004650749.1,xm_003421421.2,xm_005578934.1,xm_011718855.1,xm_011984622.1,xm_017664251.1,xm_005074075.2,xm_012786632.1,xm_005368838.1,xm_016214995.1,xm_001371786.2,nm_147093.3,xm_004768201.1,xm_008854121.1,xm_003254808.2,xm_004589948.1,xm_004641973.2,xm_004407548.2,xm_004279267.1,XM_008258676.2,xm_003780955.2,xm_004016259.3,xm_003804649.2,xm_003312878.2,xm_003910322.3,xm_002822152.2,xm_012645625.1,xm_011381120.1,xm_006229890.3,xm_010366956.1,xm_016157916.1,xm_003923385.2,xm_003764744.1,xm_004618225.1,xm_003482540.3,xm_004391047.2,xm_006140902.2,xm_004323662.1
P2RY1,NM_002563.4,XM_015131754.1,XM_002916353.2,XM_012437159.1,NM_174410.3,XM_008983642.2,XM_010987099.1,NM_001193673.1,XM_018048760.1,XM_008054831.1,XM_005006537.2,xm_014796613.1,XM_012086235.1,XM_005393054.2,XM_008008665.1,xm_006867966.1,XM_004682335.2,XM_007644947.2,XM_004478825.1,XM_013016204.1,XM_004709026.2,xm_006901542.1,XM_008142208.1,XM_001918187.3,XM_007529557.2,XM_003991990.2,XM_008584740.1,XM_004037867.1,XM_004834478.1,XM_005325686.2,XM_004655921.1,XM_003416142.2,XM_005546151.2,XM_011771397.1,XM_011972742.1,XM_017659295.1,XM_005077921.2,XM_012774386.1,XM_005344045.2,XM_016222580.1,XM_007502349.1,NM_001282016.1,XM_004755585.2,XM_008844636.2,XM_003256313.3,XM_004598089.1,XM_004643941.2,XM_004404994.2,XM_004284498.2,XM_017346852.1,XM_003794121.2,XM_004003238.3,XM_008951853.1,XM_526353.5,XM_009201502.2,XM_002814197.2,XM_012642872.1,XM_011380850.1,NM_012800.1,XM_010372082.1,XM_016159485.1,XM_003925019.2,XM_003766213.2,XM_004603160.1,XM_005669935.2,xm_004379183.2,XM_006149757.2,xm_004321791.1
P2RY10,NM_014499.3,NM_001258158.1,XM_011237166.1,xm_012455743.1,NM_001075699.2,xm_017968744.1,xm_010981283.1,XM_005641525.1,xm_018044037.1,xm_008057355.1,xm_013153670.1,xm_014796504.1,XM_012082883.1,xm_013508833.1,XM_007992151.1,XM_006872508.1,xm_004685613.2,xm_007608803.2,XM_004482217.2,xm_013028942.1,xm_004717631.1,,xm_008159169.1,xm_014728996.1,XM_007534339.2,xm_006943843.1,XM_008577546.1,XM_004064439.1,xm_004867511.2,xm_005328820.1,xm_004666957.1,xm_010592703.1,XM_005594009.2,XM_011712193.1,xm_011967192.1,xm_017654672.1,xm_005085939.2,xm_012755363.1,XM_005369864.1,xm_016213217.1,xm_007507479.2,NM_172435.3,XM_004777091.2,xm_008837683.2,XM_003268998.3,xm_004592783.1,xm_004648568.1,XM_012567797.1,xm_012536976.1,xm_008272962.2,XM_003800449.2,XM_012106964.2,XM_014343489.1,XM_016944084.1,XM_003917922.3,XM_002831838.2,xm_012664106.1,xm_011382461.1,XM_008773346.2,xm_010383040.1,xm_016125228.1,XM_003936838.2,,XM_004611639.1,XM_013986256.1,xm_004378890.1,xm_006155858.2,XM_004325696.1
P2RY11,NM_002566.4,NM_001204430.1,xm_002921406.2,XM_012436182.1,NM_001204449.1,NM_001204433.1,xm_010978391.1,NM_001204441.1,xm_005682349.3,xm_008058179.1,xm_013145251.1,xm_014796926.1,XM_012093747.1,xm_005406128.2,XM_007995200.1,xm_006875158.1,XM_012729381.1,xm_016969753.1,,,xm_013008368.1,xm_006898834.1,xm_008158073.1,NM_001204497.1,xm_007526020.1,xm_011289624.1,XM_008578026.1,xm_004059978.1,XM_013065917.1,XM_005336274.1,,xm_010593520.1,XM_005587927.2,XM_011734588.1,XM_011994337.1,xm_017657828.1,XM_005078595.1,xm_012790355.1,XM_005347441.1,xm_016207822.1,,,xm_013054177.1,,XM_003275726.2,xm_004595733.1,xm_004633008.1,xm_004398853.2,xm_004277673.2,XM_017338782.1,xm_003798047.1,XM_015095824.1,xm_008961867.2,xm_009434582.2,XM_009193455.2,XM_009252768.1,xm_012641461.1,xm_011380349.1,,xm_010373785.1,XM_016153580.1,XM_003938943.2,,xm_004616763.1,NM_001204436.1,xm_004378557.1,,XM_004318912.1
P2RY12,NM_022788.4,NM_001194370.1,XM_002916347.2,XM_012437075.1,NM_001001174.2,XM_002759491.4,XM_010986787.1,XM_005634154.2,XM_005675443.3,XM_008057481.1,XM_013159703.1,xm_014788788.1,XM_012085792.1,XM_005393019.2,XM_008008708.1,XM_006867982.1,XM_012732647.1,XM_007643491.1,XM_004465648.2,XM_013029912.1,XM_004708539.1,XM_006900048.1,XM_008159159.1,XM_005600987.2,XM_007533942.2,XM_011286174.1,XM_008579716.1,XM_004037858.1,XM_004834457.1,XM_005339912.2,XM_004655911.1,xm_003416154.2,NM_001285152.1,XM_011710912.1,XM_011972753.1,XM_017645575.1,XM_005077912.2,XM_012782870.1,XM_005344021.2,XM_016216700.1,XM_007502032.2,XM_006502085.3,XM_004755550.2,XM_008844911.1,XM_003256301.2,XM_012931177.1,XM_004643925.1,XM_004405007.2,XM_004278167.2,XM_008266331.2,XM_003802187.2,XM_004003251.3,XM_003826467.1,XM_003310054.2,XM_003894951.3,XM_002814189.1,XM_012642932.1,xm_011374242.1,XM_006232407.3,XM_010370586.1,XM_016156458.1,XM_003925036.1,XM_003766056.2,,XM_005669926.2,xm_004379187.2,XM_014588287.1,xm_004331662.1
P2RY13,NM_176894.2,XM_015131813.1,XM_011221163.1,XM_012437084.1,NM_001098152.1,XM_002759488.3,,XM_005634569.1,XM_013965759.2,XM_008057473.1,XM_003476288.3,xm_014788795.1,XM_012085832.1,XM_005393021.2,XM_008008702.1,XM_006867981.1,XM_004674923.1,XM_003502879.1,XM_004465645.2,XM_013029915.1,XM_013006115.1,XM_006900062.1,XM_008159160.1,XM_001489171.4,XM_007533940.2,XM_006936330.1,XM_008579717.1,XM_004037857.1,XM_004834462.1,XM_005339913.1,XM_012948155.1,,XM_005546107.2,XM_011710915.1,XM_011972752.1,XM_017645579.1,XM_005077913.2,XM_012782881.1,XM_005344023.1,XM_016216703.1,XM_007502031.2,NM_028808.3,XM_004755552.2,XM_008844897.2,XM_003256304.2,XM_012931178.1,XM_012517524.1,XM_012563966.1,XM_004278168.2,XM_002716272.3,XM_003802186.1,XM_012101430.2,XM_003826465.2,XM_001145323.4,XM_003894949.3,XM_002814186.2,XM_012642933.1,,XM_008760991.2,XM_010370585.1,XM_016156459.1,XM_003925030.2,,,XM_003132491.5,xm_012556321.1,XM_006149732.2,
