RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_001199649,5747,protein tyrosine kinase 2,"This gene encodes a cytoplasmic protein tyrosine kinase which is found concentrated in the focal adhesions that form between cells growing in the presence of extracellular matrix constituents. The encoded protein is a member of the FAK subfamily of protein tyrosine kinases but lacks significant sequence similarity to kinases from other subfamilies. Activation of this gene may be an important early step in cell growth and intracellular signal transduction pathways triggered in response to certain neural peptides or to cell interactions with the extracellular matrix. Several transcript variants encoding different isoforms have been found for this gene, but the full-length natures of only four of them have been determined.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5747"">https://www.ncbi.nlm.nih.gov/gene/5747</a>"
NM_001195001,10076,"protein tyrosine phosphatase, receptor type U","The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP possesses an extracellular region, a single transmembrane region, and two tandem intracellular catalytic domains, and thus represents a receptor-type PTP. The extracellular region contains a meprin-A5 antigen-PTP (MAM) domain, Ig-like and fibronectin type III-like repeats. This PTP was thought to play roles in cell-cell recognition and adhesion. Studies of the similar gene in mice suggested the role of this PTP in early neural development. The expression of this gene was reported to be regulated by phorbol myristate acetate (PMA) or calcium ionophore in Jurkat T lymphoma cells. Alternatively spliced transcript variants have been reported.","<a href=""https://www.ncbi.nlm.nih.gov/gene/10076"">https://www.ncbi.nlm.nih.gov/gene/10076</a>"
NM_005859,5813,purine rich element binding protein A,"This gene product is a sequence-specific, single-stranded DNA-binding protein. It binds preferentially to the single strand of the purine-rich element termed PUR, which is present at origins of replication and in gene flanking regions in a variety of eukaryotes from yeasts through humans. Thus, it is implicated in the control of both DNA replication and transcription. Deletion of this gene has been associated with myelodysplastic syndrome and acute myelogenous leukemia.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5813"">https://www.ncbi.nlm.nih.gov/gene/5813</a>"
NM_000320,5860,quinoid dihydropteridine reductase,"This gene encodes the enzyme dihydropteridine reductase, which catalyzes the NADH-mediated reduction of quinonoid dihydrobiopterin.  This enzyme is an essential component of the pterin-dependent aromatic amino acid hydroxylating systems. Mutations in this gene resulting in QDPR deficiency include aberrant splicing, amino acid substitutions, insertions, or premature terminations.  Dihydropteridine reductase deficiency presents as atypical phenylketonuria due to insufficient production of biopterin, a cofactor for phenylalanine hydroxylase.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5860"">https://www.ncbi.nlm.nih.gov/gene/5860</a>"
NM_004218,9230,"RAB11B, member RAS oncogene family","The Ras superfamily of small GTP-binding proteins, which includes the Ras (see MIM 190020), Ral (see MIM 179550), Rho (see MIM 165390), Rap (see MIM 179520), and Rab (see MIM 179508) families, is involved in controlling a diverse set of essential cellular functions. The Rab family, including RAB11B, appears to play a critical role in regulating exocytotic and endocytotic pathways (summary by Zhu et al., 1994 [PubMed 7811277]).","<a href=""https://www.ncbi.nlm.nih.gov/gene/9230"">https://www.ncbi.nlm.nih.gov/gene/9230</a>"
NM_006868,11031,"RAB31, member RAS oncogene family","Small GTP-binding proteins of the RAB family, such as RAB31, play essential roles in vesicle and granule targeting (Bao et al., 2002 [PubMed 11784320]).","<a href=""https://www.ncbi.nlm.nih.gov/gene/11031"">https://www.ncbi.nlm.nih.gov/gene/11031</a>"
NM_001243718,5870,"RAB6A, member RAS oncogene family","This gene encodes a member of the RAB family, which belongs to the small GTPase superfamily. GTPases of the RAB family bind to various effectors to regulate the targeting and fusion of transport carriers to acceptor compartments. This protein is located at the Golgi apparatus, which regulates trafficking in both a retrograde (from early endosomes and Golgi to the endoplasmic reticulum) and an anterograde (from the Golgi to the plasma membrane) directions. Myosin II is an effector of this protein in these processes. This protein is also involved in assembly of human cytomegalovirus (HCMV) by interacting with the cellular protein Bicaudal D1, which interacts with the HCMV virion tegument protein, pp150. Multiple alternatively spliced transcript variants encoding different isoforms have been identified.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5870"">https://www.ncbi.nlm.nih.gov/gene/5870</a>"
NM_001244713,5887,"RAD23 homolog B, nucleotide excision repair protein","The protein encoded by this gene is one of two human homologs of Saccharomyces cerevisiae Rad23, a protein involved in the nucleotide excision repair (NER). This protein was found to be a component of the protein complex that specifically complements the NER defect of xeroderma pigmentosum group C (XP-c) cell extracts in vitro. This protein was also shown to interact with, and elevate the nucleotide excision activity of 3-methyladenine-DNA glycosylase (MPG), which suggested a role in DNA damage recognition in base excision repair. This protein contains an N-terminal ubiquitin-like domain, which was reported to interact with 26S proteasome, and thus this protein may be involved in the ubiquitin mediated proteolytic pathway in cells. Alternative splicing results in multiple transcript variants encoding distinct isoforms.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5887"">https://www.ncbi.nlm.nih.gov/gene/5887</a>"
NM_001300796,5901,"RAN, member RAS oncogene family","RAN (ras-related nuclear protein) is a small GTP binding protein belonging to the RAS superfamily that is essential for the translocation of RNA and proteins through the nuclear pore complex. The RAN protein is also involved in control of DNA synthesis and cell cycle progression. Nuclear localization of RAN requires the presence of regulator of chromosome condensation 1 (RCC1). Mutations in RAN disrupt DNA synthesis. Because of its many functions, it is likely that RAN interacts with several other proteins. RAN regulates formation and organization of the microtubule network independently of its role in the nucleus-cytosol exchange of macromolecules. RAN could be a key signaling molecule regulating microtubule polymerization during mitosis. RCC1 generates a high local concentration of RAN-GTP around chromatin which, in turn, induces the local nucleation of microtubules.  RAN is an androgen receptor (AR) coactivator that binds differentially with different lengths of polyglutamine within the androgen receptor. Polyglutamine repeat expansion in the AR is linked to Kennedy's disease (X-linked spinal and bulbar muscular atrophy). RAN coactivation of the AR diminishes with polyglutamine expansion within the AR, and this weak coactivation may lead to partial androgen insensitivity during the development of Kennedy's disease.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5901"">https://www.ncbi.nlm.nih.gov/gene/5901</a>"
NM_000321,5925,RB transcriptional corepressor 1,"The protein encoded by this gene is a negative regulator of the cell cycle and was the first tumor suppressor gene found. The encoded protein also stabilizes constitutive heterochromatin to maintain the overall chromatin structure. The active, hypophosphorylated form of the protein binds transcription factor E2F1. Defects in this gene are a cause of childhood cancer retinoblastoma (RB), bladder cancer, and osteogenic sarcoma.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5925"">https://www.ncbi.nlm.nih.gov/gene/5925</a>"
NM_001102445,5999,regulator of G protein signaling 4,"Regulator of G protein signaling (RGS) family members are regulatory molecules that act as GTPase activating proteins (GAPs) for G alpha subunits of heterotrimeric G proteins. RGS proteins are able to deactivate G protein subunits of the Gi alpha, Go alpha and Gq alpha subtypes. They drive G proteins into their inactive GDP-bound forms. Regulator of G protein signaling 4 belongs to this family. All RGS proteins share a conserved 120-amino acid sequence termed the RGS domain. Regulator of G protein signaling 4 protein is 37% identical to RGS1 and 97% identical to rat Rgs4. This protein negatively regulate signaling upstream or at the level of the heterotrimeric G protein and is localized in the cytoplasm. Alternatively spliced transcript variants have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5999"">https://www.ncbi.nlm.nih.gov/gene/5999</a>"
NM_001081955,8787,regulator of G protein signaling 9,This gene encodes a member of the RGS family of GTPase activating proteins that function in various signaling pathways by accelerating the deactivation of G proteins. This protein is anchored to photoreceptor membranes in retinal cells and deactivates G proteins in the rod and cone phototransduction cascades. Mutations in this gene result in bradyopsia. Multiple transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/8787"">https://www.ncbi.nlm.nih.gov/gene/8787</a>"
NM_021205,58480,ras homolog family member U,"This gene encodes a member of the Rho family of GTPases. This protein can activate PAK1 and JNK1, and can induce filopodium formation and stress fiber dissolution. It may also mediate the effects of WNT1 signaling in the regulation of cell morphology, cytoskeletal organization, and cell proliferation. A non-coding transcript variant of this gene results from naturally occurring read-through transcription between this locus and the neighboring DUSP5P (dual specificity phosphatase 5 pseudogene) locus.","<a href=""https://www.ncbi.nlm.nih.gov/gene/58480"">https://www.ncbi.nlm.nih.gov/gene/58480</a>"
NM_017831,54941,ring finger protein 125,"This gene encodes a novel E3 ubiquitin ligase that contains a RING finger domain in the N-terminus and three zinc-binding and one ubiquitin-interacting motif in the C-terminus. As a result of myristoylation, this protein associates with membranes and is primarily localized to intracellular membrane systems. The encoded protein may function as a positive regulator in the T-cell receptor signaling pathway.","<a href=""https://www.ncbi.nlm.nih.gov/gene/54941"">https://www.ncbi.nlm.nih.gov/gene/54941</a>"
NM_000984,6147,ribosomal protein L23a,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L23P family of ribosomal proteins. It is located in the cytoplasm. The protein may be one of the target molecules involved in mediating growth inhibition by interferon. In yeast, the corresponding protein binds to a specific site on the 26S rRNA. This gene is co-transcribed with the U42A, U42B, U101A, and U101B small nucleolar RNA genes, which are located in its third, first, second, and fourth introns, respectively. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6147"">https://www.ncbi.nlm.nih.gov/gene/6147</a>"
NM_000967,6122,ribosomal protein L3,"Ribosomes, the complexes that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L3P family of ribosomal proteins and it is located in the cytoplasm. The protein can bind to the HIV-1 TAR mRNA, and it has been suggested that the protein contributes to tat-mediated transactivation. This gene is co-transcribed with several small nucleolar RNA genes, which are located in several of this gene's introns. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6122"">https://www.ncbi.nlm.nih.gov/gene/6122</a>"
NM_000989,6156,ribosomal protein L30,"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L30E family of ribosomal proteins. It is located in the cytoplasm. This gene is co-transcribed with the U72 small nucleolar RNA gene, which is located in its fourth intron. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6156"">https://www.ncbi.nlm.nih.gov/gene/6156</a>"
NM_001322227,9252,ribosomal protein S6 kinase A5,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/9252"">https://www.ncbi.nlm.nih.gov/gene/9252</a>"
NM_001007071,6199,ribosomal protein S6 kinase B2,This gene encodes a member of the RSK (ribosomal S6 kinase) family of serine/threonine kinases. This kinase contains a kinase catalytic domain and phosphorylates the S6 ribosomal protein and eukaryotic translation initiation factor 4B (eIF4B). Phosphorylation of S6 leads to an increase in protein synthesis and cell proliferation.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6199"">https://www.ncbi.nlm.nih.gov/gene/6199</a>"
NM_001304288,3921,ribosomal protein SA,"Laminins, a family of extracellular matrix glycoproteins, are the major noncollagenous constituent of basement membranes. They have been implicated in a wide variety of biological processes including cell adhesion, differentiation, migration, signaling, neurite outgrowth and metastasis. Many of the effects of laminin are mediated through interactions with cell surface receptors. These receptors include members of the integrin family, as well as non-integrin laminin-binding proteins. This gene encodes a high-affinity, non-integrin family, laminin receptor 1. This receptor has been variously called 67 kD laminin receptor, 37 kD laminin receptor precursor (37LRP) and p40 ribosome-associated protein. The amino acid sequence of laminin receptor 1 is highly conserved through evolution, suggesting a key biological function. It has been observed that the level of the laminin receptor transcript is higher in colon carcinoma tissue and lung cancer cell line than their normal counterparts. Also, there is a correlation between the upregulation of this polypeptide in cancer cells and their invasive and metastatic phenotype. Multiple copies of this gene exist, however, most of them are pseudogenes thought to have arisen from retropositional events. Two alternatively spliced transcript variants encoding the same protein have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3921"">https://www.ncbi.nlm.nih.gov/gene/3921</a>"
NM_001243115,6252,reticulon 1,"This gene belongs to the family of reticulon encoding genes. Reticulons are associated with the endoplasmic reticulum, and are involved in neuroendocrine secretion or in membrane trafficking in neuroendocrine cells. This gene is considered to be a specific marker for neurological diseases and cancer, and is a potential molecular target for therapy. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6252"">https://www.ncbi.nlm.nih.gov/gene/6252</a>"
NM_003469,7857,secretogranin II,"The protein encoded by this gene is a member of the chromogranin/secretogranin family of neuroendocrine secretory proteins. Studies in rodents suggest that the full-length protein, secretogranin II, is involved in the packaging or sorting of peptide hormones and neuropeptides into secretory vesicles. The full-length protein is cleaved to produce the active peptide secretoneurin, which exerts chemotaxic effects on specific cell types, and EM66, whose function is unknown.","<a href=""https://www.ncbi.nlm.nih.gov/gene/7857"">https://www.ncbi.nlm.nih.gov/gene/7857</a>"
NM_001197107,29970,schwannomin interacting protein 1,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/29970"">https://www.ncbi.nlm.nih.gov/gene/29970</a>"
NM_004588,6327,sodium voltage-gated channel beta subunit 2,"The protein encoded by this gene is the beta 2 subunit of the type II voltage-gated sodium channel. The encoded protein is involved in cell-cell adhesion and cell migration. Defects in this gene can be a cause of Brugada Syndrome, atrial fibrillation, or sudden infant death syndrome.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6327"">https://www.ncbi.nlm.nih.gov/gene/6327</a>"
NM_002998,6383,syndecan 2,"The protein encoded by this gene is a transmembrane (type I) heparan sulfate proteoglycan and is a member of the syndecan proteoglycan family. The syndecans mediate cell binding, cell signaling, and cytoskeletal organization and syndecan receptors are required for internalization of the HIV-1 tat protein. The syndecan-2 protein functions as an integral membrane protein and participates in cell proliferation, cell migration and cell-matrix interactions via its receptor for extracellular matrix proteins. Altered syndecan-2 expression has been detected in several different tumor types.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6383"">https://www.ncbi.nlm.nih.gov/gene/6383</a>"
NM_001198713,5414,septin 4,"This gene is a member of the septin family of nucleotide binding proteins, originally described in yeast as cell division cycle regulatory proteins. Septins are highly conserved in yeast, Drosophila, and mouse, and appear to regulate cytoskeletal organization. Disruption of septin function disturbs cytokinesis and results in large multinucleate or polyploid cells. This gene is highly expressed in brain and heart. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. One of the isoforms (known as ARTS) is distinct; it is localized to the mitochondria, and has a role in apoptosis and cancer.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5414"">https://www.ncbi.nlm.nih.gov/gene/5414</a>"
NM_001085,12,serpin family A member 3,"The protein encoded by this gene is a plasma protease inhibitor and member of the serine protease inhibitor class. Polymorphisms in this protein appear to be tissue specific and influence protease targeting. Variations in this protein's sequence have been implicated in Alzheimer's disease, and deficiency of this protein has been associated with liver disease. Mutations have been identified in patients with Parkinson disease and chronic obstructive pulmonary disease.","<a href=""https://www.ncbi.nlm.nih.gov/gene/12"">https://www.ncbi.nlm.nih.gov/gene/12</a>"
NM_001199933,27244,sestrin 1,"This gene encodes a member of the sestrin family. Sestrins are induced by the p53 tumor suppressor protein and play a role in the cellular response to DNA damage and oxidative stress. The encoded protein mediates p53 inhibition of cell growth by activating AMP-activated protein kinase, which results in the inhibition of the mammalian target of rapamycin protein. The encoded protein also plays a critical role in antioxidant defense by regenerating overoxidized peroxiredoxins, and the expression of this gene is a potential marker for exposure to radiation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/27244"">https://www.ncbi.nlm.nih.gov/gene/27244</a>"
NM_001005526,23451,splicing factor 3b subunit 1,"This gene encodes subunit 1 of the splicing factor 3b protein complex. Splicing factor 3b, together with splicing factor 3a and a 12S RNA unit, forms the U2 small nuclear ribonucleoproteins complex (U2 snRNP). The splicing factor 3b/3a complex binds pre-mRNA upstream of the intron's branch site in a sequence independent manner and may anchor the U2 snRNP to the pre-mRNA. Splicing factor 3b is also a component of the minor U12-type spliceosome. The carboxy-terminal two-thirds of subunit 1 have 22 non-identical, tandem HEAT repeats that form rod-like, helical structures. Alternative splicing results in multiple transcript variants encoding different isoforms.","<a href=""https://www.ncbi.nlm.nih.gov/gene/23451"">https://www.ncbi.nlm.nih.gov/gene/23451</a>"
NM_005066,6421,splicing factor proline and glutamine rich,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6421"">https://www.ncbi.nlm.nih.gov/gene/6421</a>"
NM_006275,6431,serine and arginine rich splicing factor 6,"The protein encoded by this gene is involved in mRNA splicing and may play a role in the determination of alternative splicing. The encoded nuclear protein belongs to the splicing factor SR family and has been shown to bind with and modulate another member of the family, SFRS12. Alternative splicing results in multiple transcript variants. In addition, two pseudogenes, one on chromosome 17 and the other on the X chromosome, have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6431"">https://www.ncbi.nlm.nih.gov/gene/6431</a>"
NM_001031684,6432,serine and arginine rich splicing factor 7,"The protein encoded by this gene is a member of the serine/arginine (SR)-rich family of pre-mRNA splicing factors, which constitute part of the spliceosome. Each of these factors contains an RNA recognition motif (RRM) for binding RNA and an RS domain for binding other proteins. The RS domain is rich in serine and arginine residues and facilitates interaction between different SR splicing factors. In addition to being critical for mRNA splicing, the SR proteins have also been shown to be involved in mRNA export from the nucleus and in translation. Two transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6432"">https://www.ncbi.nlm.nih.gov/gene/6432</a>"
NM_001143676,6446,serum/glucocorticoid regulated kinase 1,"This gene encodes a serine/threonine protein kinase that plays an important role in cellular stress response. This kinase activates certain potassium, sodium, and chloride channels, suggesting an involvement in the regulation of processes such as cell survival, neuronal excitability, and renal sodium excretion. High levels of expression of this gene may contribute to conditions such as hypertension and diabetic nephropathy. Several alternatively spliced transcript variants encoding different isoforms have been noted for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6446"">https://www.ncbi.nlm.nih.gov/gene/6446</a>"
NM_001033578,23678,serum/glucocorticoid regulated kinase family member 3,"This gene is a member of the Ser/Thr protein kinase family and encodes a phosphoprotein with a PX (phox homology) domain. The protein phosphorylates several target proteins and has a role in neutral amino acid transport and activation of potassium and chloride channels. Alternate transcriptional splice variants, encoding different isoforms, have been characterized.","<a href=""https://www.ncbi.nlm.nih.gov/gene/23678"">https://www.ncbi.nlm.nih.gov/gene/23678</a>"
NM_006516,6513,solute carrier family 2 member 1,"This gene encodes a major glucose transporter in the mammalian blood-brain barrier. The encoded protein is found primarily in the cell membrane and on the cell surface, where it can also function as a receptor for human T-cell leukemia virus (HTLV) I and II. Mutations in this gene have been found in a family with paroxysmal exertion-induced dyskinesia.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6513"">https://www.ncbi.nlm.nih.gov/gene/6513</a>"
NM_001012661,6520,solute carrier family 3 member 2,"This gene is a member of the solute carrier family and encodes a cell surface, transmembrane protein. The protein exists as the heavy chain of a heterodimer, covalently bound through di-sulfide bonds to one of several possible light chains. The encoded transporter plays a role in regulation of intracellular calcium levels and transports L-type amino acids. Alternatively spliced transcript variants, encoding different isoforms, have been characterized.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6520"">https://www.ncbi.nlm.nih.gov/gene/6520</a>"
NM_003042,6529,solute carrier family 6 member 1,"The protein encoded by this gene is a gamma-aminobutyric acid (GABA) transporter that localizes to the plasma membrane. The encoded protein removes GABA from the synaptic cleft, restoring it to presynaptic terminals.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6529"">https://www.ncbi.nlm.nih.gov/gene/6529</a>"
NM_001043,6530,solute carrier family 6 member 2,"This gene encodes a member of the sodium:neurotransmitter symporter family. This member is a multi-pass membrane protein, which is responsible for reuptake of norepinephrine into presynaptic nerve terminals and is a regulator of norepinephrine homeostasis. Mutations in this gene cause orthostatic intolerance, a syndrome characterized by lightheadedness, fatigue, altered mentation and syncope. Alternatively spliced transcript variants encoding different isoforms have been identified in this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6530"">https://www.ncbi.nlm.nih.gov/gene/6530</a>"
NM_001044,6531,solute carrier family 6 member 3,"This gene encodes a dopamine transporter which is a member of the sodium- and chloride-dependent neurotransmitter transporter family. The 3' UTR of this gene contains a 40 bp tandem repeat, referred to as a variable number tandem repeat or VNTR, which can be present in 3 to 11 copies. Variation in the number of repeats is associated with idiopathic epilepsy, attention-deficit hyperactivity disorder, dependence on alcohol and cocaine, susceptibility to Parkinson disease and protection against nicotine dependence.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6531"">https://www.ncbi.nlm.nih.gov/gene/6531</a>"
NM_001045,6532,solute carrier family 6 member 4,"This gene encodes an integral membrane protein that transports the neurotransmitter serotonin from synaptic spaces into presynaptic neurons. The encoded protein terminates the action of serotonin and recycles it in a sodium-dependent manner. This protein is a target of psychomotor stimulants, such as amphetamines and cocaine, and is a member of the sodium:neurotransmitter symporter family. A repeat length polymorphism in the promoter of this gene has been shown to affect the rate of serotonin uptake and may play a role in sudden infant death syndrome, aggressive behavior in Alzheimer disease patients, and depression-susceptibility in people experiencing emotional trauma.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6532"">https://www.ncbi.nlm.nih.gov/gene/6532</a>"
NM_003076,6602,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","The protein encoded by this gene is a member of the SWI/SNF family of proteins, whose members display helicase and ATPase activities and which are thought to regulate transcription of certain genes by altering the chromatin structure around those genes. The encoded protein is part of the large ATP-dependent chromatin remodeling complex SNF/SWI and has sequence similarity to the yeast Swp73 protein. Two transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6602"">https://www.ncbi.nlm.nih.gov/gene/6602</a>"
NM_000344,6606,"survival of motor neuron 1, telomeric","This gene is part of a 500 kb inverted duplication on chromosome 5q13. This duplicated region contains at least four genes and repetitive elements which make it prone to rearrangements and deletions. The repetitiveness and complexity of the sequence have also caused difficulty in determining the organization of this genomic region. The telomeric and centromeric copies of this gene are nearly identical and encode the same protein. However, mutations in this gene, the telomeric copy, are associated with spinal muscular atrophy; mutations in the centromeric copy do not lead to disease. The centromeric copy may be a modifier of disease caused by mutation in the telomeric copy. The critical sequence difference between the two genes is a single nucleotide in exon 7, which is thought to be an exon splice enhancer. Note that the nine exons of both the telomeric and centromeric copies are designated historically as exon 1, 2a, 2b, and 3-8. It is thought that gene conversion events may involve the two genes, leading to varying copy numbers of each gene. The protein encoded by this gene localizes to both the cytoplasm and the nucleus. Within the nucleus, the protein localizes to subnuclear bodies called gems which are found near coiled bodies containing high concentrations of small ribonucleoproteins (snRNPs). This protein forms heteromeric complexes with proteins such as SIP1 and GEMIN4, and also interacts with several proteins known to be involved in the biogenesis of snRNPs, such as hnRNP U protein and the small nucleolar RNA binding protein. Multiple transcript variants encoding distinct isoforms have been described.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6606"">https://www.ncbi.nlm.nih.gov/gene/6606</a>"
NM_003080,6610,sphingomyelin phosphodiesterase 2,This gene encodes a protein which was initially identified as a sphingomyelinase based on sequence similarity between bacterial sphingomyelinases and a yeast protein. Subsequent studies showed that its biological function is less likely to be as a sphingomyelinase and instead as a lysophospholipase.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6610"">https://www.ncbi.nlm.nih.gov/gene/6610</a>"
NM_001286138,10924,sphingomyelin phosphodiesterase acid like 3A,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/10924"">https://www.ncbi.nlm.nih.gov/gene/10924</a>"
NM_000345,6622,synuclein alpha,"Alpha-synuclein is a member of the synuclein family, which also includes beta- and gamma-synuclein. Synucleins are abundantly expressed in the brain and alpha- and beta-synuclein inhibit phospholipase D2 selectively. SNCA may serve to integrate presynaptic signaling and membrane trafficking. Defects in SNCA have been implicated in the pathogenesis of Parkinson disease. SNCA peptides are a major component of amyloid plaques in the brains of patients with Alzheimer's disease. Alternatively spliced transcripts encoding different isoforms have been identified for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6622"">https://www.ncbi.nlm.nih.gov/gene/6622</a>"
NM_001001502,6620,synuclein beta,This gene encodes a member of a small family of proteins that inhibit phospholipase D2 and may function in neuronal plasticity. The encoded protein is abundant in lesions of patients with Alzheimer disease. A mutation in this gene was found in individuals with dementia with Lewy bodies. Alternative splicing results in multiple transcript variants.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6620"">https://www.ncbi.nlm.nih.gov/gene/6620</a>"
NM_000636,6648,superoxide dismutase 2,"This gene is a member of the iron/manganese superoxide dismutase family. It encodes a mitochondrial protein that forms a homotetramer and binds one manganese ion per subunit. This protein binds to the superoxide byproducts of oxidative phosphorylation and converts them to hydrogen peroxide and diatomic oxygen. Mutations in this gene have been associated with idiopathic cardiomyopathy (IDC), premature aging, sporadic motor neuron disease, and cancer. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 1.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6648"">https://www.ncbi.nlm.nih.gov/gene/6648</a>"
NM_006941,6663,SRY-box 10,This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional activator after forming a protein complex with other proteins. This protein acts as a nucleocytoplasmic shuttle protein and is important for neural crest and peripheral nervous system development. Mutations in this gene are associated with Waardenburg-Shah and Waardenburg-Hirschsprung disease.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6663"">https://www.ncbi.nlm.nih.gov/gene/6663</a>"
NM_003106,6657,SRY-box 2,"This intronless gene encodes a member of the SRY-related HMG-box (SOX) family of transcription factors involved in the regulation of embryonic development and in the determination of cell fate. The product of this gene is required for stem-cell maintenance in the central nervous system, and also regulates gene expression in the stomach. Mutations in this gene have been associated with optic nerve hypoplasia and with syndromic microphthalmia, a severe form of structural eye malformation. This gene lies within an intron of another gene called SOX2 overlapping transcript (SOX2OT).","<a href=""https://www.ncbi.nlm.nih.gov/gene/6657"">https://www.ncbi.nlm.nih.gov/gene/6657</a>"
NM_000346,6662,SRY-box 9,"The protein encoded by this gene recognizes the sequence CCTTGAG along with other members of the HMG-box class DNA-binding proteins. It acts during chondrocyte differentiation and, with steroidogenic factor 1, regulates transcription of the anti-Muellerian hormone (AMH) gene. Deficiencies lead to the skeletal malformation syndrome campomelic dysplasia, frequently with sex reversal.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6662"">https://www.ncbi.nlm.nih.gov/gene/6662</a>"
NM_001309443,6678,secreted protein acidic and cysteine rich,This gene encodes a cysteine-rich acidic matrix-associated protein. The encoded protein is required for the collagen in bone to become calcified but is also involved in extracellular matrix synthesis and promotion of changes to cell shape. The gene product has been associated with tumor suppression but has also been correlated with metastasis based on changes to cell shape which can promote tumor cell invasion. Three transcript variants encoding different isoforms have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6678"">https://www.ncbi.nlm.nih.gov/gene/6678</a>"
NM_025106,80176,splA/ryanodine receptor domain and SOCS box containing 1,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/80176"">https://www.ncbi.nlm.nih.gov/gene/80176</a>"
